"","total","pacotes","custo"
"282",4295,859,3436
"283",5810,1162,4648
"284",3845,769,3076
"285",4130,826,3304
"286",4860,972,3888
"287",4855,971,3884
"288",4430,886,3544
"289",6110,1222,4888
"290",4990,998,3992
"291",4610,922,3688
"292",4190,838,3352
"293",5715,1143,4572
"294",3910,782,3128
"295",5420,1084,4336
"296",4420,884,3536
"297",7465,1493,5972
"298",4375,875,3500
"299",6510,1302,5208
"300",3335,667,2668
"301",3790,758,3032
"302",4920,984,3936
"303",5295,1059,4236
"304",6295,1259,5036
"305",4705,941,3764
"306",5725,1145,4580
"307",4795,959,3836
"308",4120,824,3296
"309",4865,973,3892
"310",4615,923,3692
"311",5295,1059,4236
"312",4730,946,3784
"313",4425,885,3540
"314",4740,948,3792
"315",3590,718,2872
"316",5080,1016,4064
"317",4675,935,3740
"318",4965,993,3972
"319",4335,867,3468
"320",4855,971,3884
"321",3890,778,3112
"322",4405,881,3524
"323",5510,1102,4408
"324",4555,911,3644
"325",4030,806,3224
"326",4100,820,3280
"327",4990,998,3992
"328",4635,927,3708
"329",4700,940,3760
"330",5055,1011,4044
"331",4285,857,3428
"332",4630,926,3704
"333",4020,804,3216
"334",4740,948,3792
"335",4200,840,3360
"336",7070,1414,5656
"337",6700,1340,5360
"338",3825,765,3060
"339",6035,1207,4828
"340",6525,1305,5220
"341",4885,977,3908
"342",4120,824,3296
"343",4810,962,3848
"344",4955,991,3964
"345",5045,1009,4036
"346",3655,731,2924
"347",4660,932,3728
"348",3705,741,2964
"349",4190,838,3352
"350",4530,906,3624
"351",4445,889,3556
"352",3255,651,2604
"353",5260,1052,4208
"354",6340,1268,5072
"355",3975,795,3180
"356",3580,716,2864
"357",6755,1351,5404
"358",4775,955,3820
"359",4110,822,3288
"360",6055,1211,4844
"361",4310,862,3448
"362",4570,914,3656
"363",3870,774,3096
"364",4940,988,3952
"365",5985,1197,4788
"366",4260,852,3408
"367",4855,971,3884
"368",5165,1033,4132
"369",4245,849,3396
"370",4090,818,3272
"371",5625,1125,4500
"372",4300,860,3440
"373",6575,1315,5260
"374",3645,729,2916
"375",5760,1152,4608
"376",4975,995,3980
"377",3845,769,3076
"378",3945,789,3156
"379",3760,752,3008
"380",4235,847,3388
"381",4265,853,3412
"382",3770,754,3016
"383",3955,791,3164
"384",5095,1019,4076
"385",4480,896,3584
"386",4845,969,3876
"387",7400,1480,5920
"388",3205,641,2564
"389",4235,847,3388
"390",4760,952,3808
"391",4300,860,3440
"392",5525,1105,4420
"393",3315,663,2652
"394",5590,1118,4472
"395",3570,714,2856
"396",3700,740,2960
"397",4095,819,3276
"398",4390,878,3512
"399",5510,1102,4408
"400",4365,873,3492
"401",3770,754,3016
"402",6180,1236,4944
"403",4930,986,3944
"404",4610,922,3688
